Customer_ID,Age,Gender,Occupation,City,Monthly_Income,Annual_Income,Family_Size,Current_Housing_Status,Plot_Budget,Preferred_Plot_Size_SqFt,Preferred_Location,Distance_to_City_Center_km,Purpose,Loan_Required,Expected_Purchase_Timeline,Lead_Source,Previous_Enquiry,Site_Visit,Negotiation_Done,Booking_Done,Purchase_Probability,Purchase_Intent,Purchased,Purchase_Value
CUST_20988,21,Male,Unknown,Mumbai,131500.0,1578000,2,Owned Flat/House,7020000.0,1500.0,Any,33.8,Self-use,No,1-3 years,Google & Social Media Ads,No,No,No,No,0.0639,Low,No,0
CUST_16662,29,Male,Real Estate & Construction,Kolkata,43800.0,525600,4,Owned Flat/House,2000000.0,600.0,Within City Limits,17.0,Self-use,Yes,1-3 years,Magicbricks / Real Estate Portal,Yes,No,No,No,0.0668,Low,No,0
CUST_10543,50,Male,Retail & Commerce,Noida,179000.0,2149200,2,Owned Flat/House,5710000.0,1200.0,Unknown,20.3,Investment,Yes,0-6 months,Channel Partner / Broker,No,Yes,Yes,Yes,0.99,High,Yes,5550000
CUST_15741,44,Male,Retail & Commerce,Pune,45700.0,548400,4,Living with Parents,2300000.0,1000.0,Periphery / Growth Corridor,40.9,Self-use,Yes,6-12 months,Print / Newspaper Ad,Yes,No,No,No,0.2293,Low,No,0
CUST_16911,38,Male,Business Owner,Ahmedabad,219400.0,2632800,4,Rented,4730000.0,1500.0,Suburbs,22.8,Self-use,Yes,0-6 months,Magicbricks / Real Estate Portal,No,Yes,No,No,0.7678,High,Yes,8930000
CUST_11063,40,Male,Manufacturing & Engineering,Mumbai,150600.0,1807200,4,Owned Flat/House,4790000.0,1800.0,Periphery / Growth Corridor,37.9,Investment,Yes,6-12 months,Google & Social Media Ads,No,No,No,No,0.206,Low,No,0
CUST_17141,67,Male,Education,Pune,142400.0,1708800,4,Rented,4920000.0,1197.0,Suburbs,25.6,Self-use,Yes,1-3 years,Magicbricks / Real Estate Portal,No,No,No,No,0.1417,Low,No,0
CUST_19639,39,Male,IT & Software,Delhi,110900.0,1330800,3,Rented,3600000.0,900.0,Periphery / Growth Corridor,32.5,Self-use,Yes,1-3 years,Magicbricks / Real Estate Portal,Yes,No,No,No,0.254,Low,No,0
CUST_16035,25,Female,Healthcare,Delhi,72400.0,868800,3,Rented,3670000.0,1000.0,Periphery / Growth Corridor,33.2,Self-use,Yes,0-6 months,Google & Social Media Ads,No,Yes,No,No,0.5728,Medium,No,0
CUST_12638,27,Male,Unknown,Pune,34600.0,415200,3,Living with Parents,2000000.0,900.0,Suburbs,16.6,Self-use,Yes,1-3 years,Magicbricks / Real Estate Portal,Yes,No,No,No,0.0872,Low,No,0
CUST_21488,56,Unknown,Unknown,Bengaluru,372000.0,4467600,5,Rented,19650000.0,3000.0,Periphery / Growth Corridor,38.2,Self-use,No,6-12 months,Print / Newspaper Ad,Yes,Yes,Yes,No,0.7998,High,Yes,19170000
CUST_10747,25,Male,Manufacturing & Engineering,Kolkata,57900.0,694800,2,Living with Parents,3360000.0,999.0,Suburbs,22.8,Investment,No,0-6 months,Magicbricks / Real Estate Portal,Yes,Yes,No,Yes,0.9336,High,Yes,3290000
CUST_17775,38,Female,Unknown,Noida,85200.0,1022400,3,Living with Parents,3130000.0,900.0,Suburbs,17.0,Self-use,Yes,1-3 years,Magicbricks / Real Estate Portal,No,No,No,No,0.1491,Low,No,0
CUST_11047,46,Female,Business Owner,Hyderabad,108800.0,1305600,5,Owned Flat/House,5080000.0,1500.0,Suburbs,22.3,Self-use,Yes,0-6 months,Channel Partner / Broker,No,No,No,No,0.3581,Medium,No,0
