Customer_ID,Age,Gender,Occupation,City,Monthly_Income,Annual_Income,Family_Size,Current_Housing_Status,Plot_Budget,Preferred_Plot_Size_SqFt,Preferred_Location,Distance_to_City_Center_km,Purpose,Loan_Required,Expected_Purchase_Timeline,Lead_Source,Enquiry_Date,Previous_Enquiry,Site_Visit,Negotiation_Done,Booking_Done,Purchase_Probability,Purchase_Intent,Purchased,Purchase_Value,Outlier_Flag
CUST_20988,21,Male,IT & Software,Mumbai,131500.0,1578000.0,2,Owned Flat/House,7020000.0,1500.0,Suburbs,33.8,Self-use,0,1-3 years,Google & Social Media Ads,2024-07-19,0,0,0,0,0.0639,Low,0,0.0,Inlier
CUST_16662,29,Male,Real Estate & Construction,Kolkata,43800.0,525600.0,4,Owned Flat/House,2000000.0,600.0,Within City Limits,17.0,Self-use,1,1-3 years,Magicbricks / Real Estate Portal,2025-01-13,1,1,0,0,0.0668,Low,0,0.0,Inlier
CUST_10543,50,Male,Retail & Commerce,Noida,179000.0,2148000.0,2,Owned Flat/House,5710000.0,1200.0,Suburbs,20.3,Investment,1,0-6 months,Channel Partner / Broker,2024-10-25,0,1,1,1,0.99,High,1,5550000.0,Inlier
CUST_15741,44,Male,Retail & Commerce,Pune,45700.0,548400.0,4,Living with Parents,2300000.0,1000.0,Periphery / Growth Corridor,40.9,Self-use,1,6-12 months,Print / Newspaper Ad,2025-06-06,1,1,0,0,0.2293,Low,0,0.0,Inlier
CUST_16911,38,Male,Self-Employed / Business,Ahmedabad,219400.0,2632800.0,4,Rented,16354509.787616704,1500.0,Suburbs,23.534196852135196,Self-use,1,0-6 months,Magicbricks / Real Estate Portal,2024-09-30,0,1,0,1,0.7678,High,1,8930000.0,Inlier
CUST_11063,40,Male,Manufacturing & Engg,Mumbai,150600.0,1807200.0,4,Owned Flat/House,4790000.0,1800.0,Periphery / Growth Corridor,37.9,Investment,1,6-12 months,Google & Social Media Ads,2024-08-15,0,0,0,0,0.206,Low,0,0.0,Inlier
CUST_17141,67,Male,Education & Academic,Pune,142400.0,1708800.0,4,Rented,4920000.0,1197.0,Suburbs,25.6,Self-use,1,1-3 years,Magicbricks / Real Estate Portal,2025-05-27,0,0,0,0,0.1417,Low,0,0.0,Inlier
CUST_19639,39,Male,IT & Software,Delhi,110900.0,1330800.0,3,Rented,3600000.0,900.0,Periphery / Growth Corridor,32.5,Self-use,1,1-3 years,Magicbricks / Real Estate Portal,2024-05-18,1,1,0,0,0.254,Low,0,0.0,Inlier
CUST_16035,25,Female,Healthcare & Doctor,Delhi,72400.0,868800.0,3,Rented,3670000.0,1000.0,Periphery / Growth Corridor,33.2,Self-use,1,0-6 months,Google & Social Media Ads,2024-10-02,0,1,0,0,0.5728,Medium,0,0.0,Inlier
CUST_12638,27,Male,IT & Software,Pune,34600.0,415200.0,3,Living with Parents,2000000.0,900.0,Suburbs,16.6,Self-use,1,1-3 years,Magicbricks / Real Estate Portal,2025-05-24,1,1,0,0,0.0872,Low,0,0.0,Inlier
