location,area,price,price_currency,status,new/resale,price_negotiable,description,security_deposit,facing,furnished,age of property,Lift(s),Full Power Backup,24 X 7 Security,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens,locality_score,project_score,builder_experience,Intercom,Indoor Games,ATM,Maintenance Staff,Staff Quarter,Multipurpose Room,Car Parking,Hospital,School,Shopping Mall,Vaastu Compliant,Cafeteria,Rain Water Harvesting,Golf Course,city,property_type
Dhakoli,1300.0,2850000.0,INR,,0.0,0.0,This spacious 2 bhk builder floor is available for sale and is located in the heart of Dhakoli. It has a built-up area of 1300 sqft and is priced at Rs. 28.50 lac . It is a semi-furnished property. It is made in way to provide a comfortable living for the residents. The society is well connected by different modes of transportation. ,1.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,Chandigarh,builderfloor
Dhakoli,1400.0,3600000.0,INR,,0.0,0.0,"It’s a 3 bhk builder floor situated in Dhakoli. It has a salable area of 1400 sqft and is available at a price of Rs. 2,571 per sqft. The house is semi-furnished. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The society is well connected by different modes of transportation. Please contact for more details. ",1.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,Chandigarh,builderfloor
Dhakoli,1350.0,3690000.0,INR,,0.0,0.0,It has an area of 1350 sqft with a carpet area of 1200 sqft . The property is available at a price of Rs. 36.90 lac . It is a semi-furnished property. Its main door is facing northeast direction. This residential property is ready-to-move-in. It is made in way to provide a comfortable living. It is situated in the proximity of all the important facilities. ,1.0,northeast,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,Chandigarh,builderfloor
New chandigarh mohali,1200.0,10000000.0,INR,,0.0,0.0,"It has a salable area of 1200 sqft and is available at a price of Rs. 8,333 per sqft. The house is furnished. Its main door is facing northeast direction. This residential property is ready-to-move-in. It is made in way to provide a comfortable living. If you are interested, please contact us for more details. ",1.0,northeast,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,Chandigarh,builderfloor
Sunny Enclave,1008.0,3090000.0,INR,,1.0,0.0,"This spacious 2 bhk builder floor is available for sale and is located in the heart of Sunny Enclave. It has a built-up area of 1008 sqft and is priced at Rs. 30.90 lac . Its main door is facing east direction. This residential property is ready-to-move-in. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. ",1.0,east,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,Chandigarh,builderfloor
Dhakoli,1500.0,3200000.0,INR,,0.0,0.0,"This spacious 3 bhk builder floor is available for sale and is located in the heart of Dhakoli. It has a salable area of 1500 sqft and is available at a price of Rs. 2,133 per sqft. The house is semi-furnished. It is a ready-to-move-in property. Kindly call us for details. ",1.0,east,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,1.0,,,,,,,,,,,,,,Chandigarh,builderfloor
New chandigarh mohali,1596.0,9500000.0,INR,,0.0,0.0,It is a semi-furnished property. It is east facing property. It is made in way to provide a comfortable living for the residents. It is situated in the proximity of all the important facilities. Please contact for more details. ,1.0,east,0.0,0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,,,1.0,,,,,,,,,,,,,,Chandigarh,builderfloor
Dhakoli,1611.0,6390000.0,INR,1.0,1.0,0.0,"It’s a 3 bhk builder floor situated in Dhakoli. It has a salable area of 1611 sqft and is available at a price of Rs. 3,966 per sqft. It is a ready-to-move-in property. The site is in close proximity to various civic utilities. If you are interested, please contact us for more details. ",1.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,Chandigarh,builderfloor
Sector 79,1800.0,13000000.0,INR,1.0,0.0,0.0,"Well designed 3 bhk builder floor is available at a prime location in Sector 79. It has an area of 1800 sqft . The property is available at a price of Rs. 1.30 cr . The house is furnished. Furnishings include 1 tv, 1 refrigerator, 1 sofa, 1 washing machine, 1 microwave, 1 dining table, 1 gas connection, 1 ac and 1 bed. It is a 6 year old ready-to-move-in property. It is made in way to provide a comfortable living for the residents. The society is well connected by different modes of transportation. Please contact us for more details. ",1.0,southwest,1.0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,Chandigarh,builderfloor
Sector 80,2000.0,17000000.0,INR,,0.0,0.0,"A 3 bhk property is available for sale in Sector 80, Chandigarh. It has a built-up area of 2000 sqft and is priced at Rs. 1.70 cr . It is a semi-furnished property. It is east facing property. This residential property is ready-to-move-in. It is made in way to provide a comfortable living. It is situated in the proximity of all the important facilities. ",1.0,east,0.0,6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,Chandigarh,builderfloor
